iter 1:, hard_loss_metric=0.20000008, full_loss_metric=0.19998790, full_loss_num=122880.00000000, mean_dist=0.00002156, lr=0.000100, hard or full='full'
iter 2:, hard_loss_metric=0.19999853, full_loss_metric=0.19998442, full_loss_num=122880.00000000, mean_dist=0.00002540, lr=0.000100, hard or full='full'
iter 3:, hard_loss_metric=0.19999817, full_loss_metric=0.19997779, full_loss_num=122880.00000000, mean_dist=0.00003288, lr=0.000100, hard or full='full'
iter 4:, hard_loss_metric=0.19999924, full_loss_metric=0.19997263, full_loss_num=122880.00000000, mean_dist=0.00003970, lr=0.000100, hard or full='full'
iter 5:, hard_loss_metric=0.20000240, full_loss_metric=0.19996595, full_loss_num=122880.00000000, mean_dist=0.00004825, lr=0.000100, hard or full='full'
iter 6:, hard_loss_metric=0.20000267, full_loss_metric=0.19996215, full_loss_num=122880.00000000, mean_dist=0.00005375, lr=0.000100, hard or full='full'
iter 7:, hard_loss_metric=0.20000868, full_loss_metric=0.19995372, full_loss_num=122880.00000000, mean_dist=0.00006692, lr=0.000100, hard or full='full'
iter 8:, hard_loss_metric=0.20001134, full_loss_metric=0.19994043, full_loss_num=122880.00000000, mean_dist=0.00008220, lr=0.000100, hard or full='full'
iter 9:, hard_loss_metric=0.20000556, full_loss_metric=0.19992171, full_loss_num=122880.00000000, mean_dist=0.00010322, lr=0.000100, hard or full='full'
0:09:11.750969
iter 10:, hard_loss_metric=0.20001344, full_loss_metric=0.19988576, full_loss_num=122880.00000000, mean_dist=0.00014212, lr=0.000100, hard or full='full'
iter 11:, hard_loss_metric=0.20003526, full_loss_metric=0.19987248, full_loss_num=122880.00000000, mean_dist=0.00016826, lr=0.000100, hard or full='full'
iter 12:, hard_loss_metric=0.20005134, full_loss_metric=0.19984834, full_loss_num=122880.00000000, mean_dist=0.00020282, lr=0.000100, hard or full='full'
iter 13:, hard_loss_metric=0.20007867, full_loss_metric=0.19976233, full_loss_num=122880.00000000, mean_dist=0.00030253, lr=0.000100, hard or full='full'
iter 14:, hard_loss_metric=0.20009325, full_loss_metric=0.19980700, full_loss_num=122880.00000000, mean_dist=0.00027023, lr=0.000100, hard or full='full'
iter 15:, hard_loss_metric=0.20009637, full_loss_metric=0.19962403, full_loss_num=122880.00000000, mean_dist=0.00045947, lr=0.000100, hard or full='full'
iter 16:, hard_loss_metric=0.20013738, full_loss_metric=0.19973662, full_loss_num=122880.00000000, mean_dist=0.00036700, lr=0.000100, hard or full='full'
iter 17:, hard_loss_metric=0.20024070, full_loss_metric=0.19954136, full_loss_num=122880.00000000, mean_dist=0.00060624, lr=0.000100, hard or full='full'
iter 18:, hard_loss_metric=0.20028096, full_loss_metric=0.19931318, full_loss_num=122880.00000000, mean_dist=0.00087159, lr=0.000100, hard or full='full'
iter 19:, hard_loss_metric=0.20032467, full_loss_metric=0.19926815, full_loss_num=122880.00000000, mean_dist=0.00093334, lr=0.000100, hard or full='full'
0:08:15.512001
iter 20:, hard_loss_metric=0.20044136, full_loss_metric=0.19914202, full_loss_num=122880.00000000, mean_dist=0.00109852, lr=0.000100, hard or full='full'
iter 21:, hard_loss_metric=0.20044136, full_loss_metric=0.19874109, full_loss_num=122880.00000000, mean_dist=0.00153939, lr=0.000100, hard or full='full'
iter 22:, hard_loss_metric=0.20067735, full_loss_metric=0.19850641, full_loss_num=122880.00000000, mean_dist=0.00186374, lr=0.000100, hard or full='full'
iter 23:, hard_loss_metric=0.20086692, full_loss_metric=0.19828874, full_loss_num=122880.00000000, mean_dist=0.00216230, lr=0.000100, hard or full='full'
iter 24:, hard_loss_metric=0.20128331, full_loss_metric=0.19753356, full_loss_num=122880.00000000, mean_dist=0.00310399, lr=0.000100, hard or full='full'
iter 25:, hard_loss_metric=0.20208204, full_loss_metric=0.19561456, full_loss_num=122880.00000000, mean_dist=0.00539574, lr=0.000100, hard or full='full'
iter 26:, hard_loss_metric=0.20180222, full_loss_metric=0.19566354, full_loss_num=122880.00000000, mean_dist=0.00518719, lr=0.000100, hard or full='full'
iter 27:, hard_loss_metric=0.20266649, full_loss_metric=0.19610079, full_loss_num=122880.00000000, mean_dist=0.00511077, lr=0.000100, hard or full='full'
